Gender,Shift,Age,Educ,native_lang
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
Male,Night shift,>= 40 Years,Some college or College,No
